         1386575 function calls (1369194 primitive calls) in 1.421 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      138    0.004    0.000    2.658    0.019 __init__.py:1(<module>)
   1421/1    0.030    0.000    1.422    1.422 {built-in method builtins.exec}
        1    0.000    0.000    1.422    1.422 basic1.py:3(<module>)
  1430/10    0.006    0.000    1.048    0.105 <frozen importlib._bootstrap>:1002(_find_and_load)
  1399/10    0.004    0.000    1.048    0.105 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
  1313/10    0.004    0.000    1.047    0.105 <frozen importlib._bootstrap>:659(_load_unlocked)
  1853/13    0.001    0.000    1.045    0.080 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
   1119/8    0.002    0.000    1.045    0.131 <frozen importlib._bootstrap_external>:844(exec_module)
   685/91    0.001    0.000    0.909    0.010 {built-in method builtins.__import__}
19451/18075    0.011    0.000    0.886    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.598    0.598 _cellregmap.py:1(<module>)
        1    0.000    0.000    0.459    0.459 _cellregmap.py:475(run_association)
        1    0.000    0.000    0.458    0.458 _cellregmap.py:250(scan_association)
       34    0.000    0.000    0.369    0.011 _lmm.py:259(fit)
       34    0.000    0.000    0.364    0.011 _function.py:66(_maximize_scalar)
       34    0.001    0.000    0.364    0.011 _function.py:23(_minimize_scalar)
       34    0.000    0.000    0.340    0.010 _optimize.py:11(minimize)
     1584    0.001    0.000    0.333    0.000 _optimize.py:50(func)
     1584    0.003    0.000    0.332    0.000 _function.py:45(func)
        1    0.000    0.000    0.314    0.314 _cellregmap.py:447(lrt_pvalues)
     1584    0.003    0.000    0.306    0.000 _lmm.py:292(value)
        1    0.000    0.000    0.280    0.280 _stats_py.py:19(<module>)
        2    0.000    0.000    0.240    0.120 testing.py:1(<module>)
        1    0.000    0.000    0.197    0.197 distributions.py:8(<module>)
     1119    0.008    0.000    0.190    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        9    0.000    0.000    0.184    0.020 api.py:1(<module>)
1312/1306    0.002    0.000    0.183    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
       34    0.002    0.000    0.180    0.005 _bracket.py:8(bracket)
     1618    0.006    0.000    0.160    0.000 _lmm.py:540(_update_beta)
       34    0.003    0.000    0.159    0.005 _brent.py:9(brent)
        1    0.000    0.000    0.156    0.156 _cellregmap.py:641(estimate_betas)
        1    0.000    0.000    0.154    0.154 _cellregmap.py:141(predict_interaction)
  181/178    0.000    0.000    0.152    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
  181/178    0.149    0.001    0.152    0.001 {built-in method _imp.create_dynamic}
1978/1961    0.024    0.000    0.115    0.000 {built-in method builtins.__build_class__}
     7446    0.104    0.000    0.109    0.000 _b.py:69(dot)
     1378    0.007    0.000    0.104    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        1    0.000    0.000    0.100    0.100 _continuous_distns.py:5(<module>)
        1    0.000    0.000    0.095    0.095 _cellregmap.py:551(run_interaction)
      299    0.000    0.000    0.094    0.000 utils.py:853(wrapper)
        1    0.000    0.000    0.094    0.094 _cellregmap.py:321(scan_interaction)
      299    0.002    0.000    0.094    0.000 utils.py:760(_derived_from)
     1374    0.001    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
     1374    0.004    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
     1620    0.003    0.000    0.090    0.000 solve.py:54(rsolve)
     1620    0.008    0.000    0.086    0.000 solve.py:140(rsolve)
     1117    0.002    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      108    0.002    0.000    0.084    0.001 _distn_infrastructure.py:1797(__init__)
     1627    0.003    0.000    0.083    0.000 _lmm.py:324(lml)
     1117    0.082    0.000    0.082    0.000 {built-in method marshal.loads}
  181/140    0.000    0.000    0.077    0.001 <frozen importlib._bootstrap_external>:1179(exec_module)
  181/140    0.018    0.000    0.077    0.001 {built-in method _imp.exec_dynamic}
     2093    0.014    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
        1    0.000    0.000    0.074    0.074 _math.py:1(<module>)
        2    0.000    0.000    0.073    0.036 generic.py:1(<module>)
     1623    0.051    0.000    0.068    0.000 linalg.py:2191(lstsq)
     1618    0.003    0.000    0.067    0.000 _lmm.py:549(_update_scale)
     1121    0.003    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
31932/31284    0.006    0.000    0.065    0.000 {built-in method builtins.hasattr}
    52/38    0.000    0.000    0.062    0.002 __init__.py:109(import_module)
        1    0.000    0.000    0.062    0.062 frame.py:1(<module>)
     1618    0.009    0.000    0.062    0.000 _lmm.py:533(_optimal_scale_using_optimal_beta)
    60/38    0.000    0.000    0.062    0.002 <frozen importlib._bootstrap>:1018(_gcd_import)
      408    0.022    0.000    0.062    0.000 doccer.py:13(docformat)
        1    0.000    0.000    0.060    0.060 _distn_infrastructure.py:5(<module>)
        1    0.000    0.000    0.059    0.059 fft.py:1(<module>)
       22    0.000    0.000    0.058    0.003 __init__.py:187(__getattr__)
      127    0.001    0.000    0.057    0.000 _distn_infrastructure.py:779(_construct_doc)
     2592    0.009    0.000    0.057    0.000 _lmm.py:580(_tXTBtX)
     3236    0.009    0.000    0.053    0.000 _lmm.py:576(_yTBtX)
    11686    0.005    0.000    0.047    0.000 re.py:289(_compile)
     1121    0.046    0.000    0.046    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.045    0.045 generic.py:2(<module>)
        1    0.000    0.000    0.044    0.044 ma.py:1(<module>)
     1627    0.007    0.000    0.042    0.000 _lmm.py:489(_lml_optimal_scale)
