         601479 function calls (594125 primitive calls) in 0.549 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.550    0.550 /mnt/c/Users/zyptd/Downloads/CellRegMap_speedup_testing/basic1/../../CellRegMap/cellregmap/_cellregmap.py:589(compute_maf)
    701/2    0.003    0.000    0.549    0.275 <frozen importlib._bootstrap>:1002(_find_and_load)
    690/2    0.002    0.000    0.549    0.275 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    852/3    0.001    0.000    0.549    0.183 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    631/3    0.002    0.000    0.548    0.183 <frozen importlib._bootstrap>:659(_load_unlocked)
    559/3    0.001    0.000    0.548    0.183 <frozen importlib._bootstrap_external>:844(exec_module)
    579/3    0.002    0.000    0.547    0.182 {built-in method builtins.exec}
    143/8    0.000    0.000    0.531    0.066 {built-in method builtins.__import__}
   745/33    0.001    0.000    0.497    0.015 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.255    0.255 /home/zyp/.local/lib/python3.9/site-packages/xarray/__init__.py:1(<module>)
        1    0.000    0.000    0.233    0.233 /home/zyp/.local/lib/python3.9/site-packages/xarray/testing.py:1(<module>)
        1    0.000    0.000    0.188    0.188 /home/zyp/.local/lib/python3.9/site-packages/pandas/__init__.py:1(<module>)
        1    0.000    0.000    0.150    0.150 /home/zyp/.local/lib/python3.9/site-packages/dask/__init__.py:1(<module>)
        1    0.000    0.000    0.143    0.143 /home/zyp/.local/lib/python3.9/site-packages/dask/array/__init__.py:1(<module>)
        1    0.000    0.000    0.137    0.137 /home/zyp/.local/lib/python3.9/site-packages/pandas/core/api.py:1(<module>)
      559    0.004    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      677    0.004    0.000    0.107    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      672    0.001    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
      672    0.002    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
1115/1104    0.013    0.000    0.098    0.000 {built-in method builtins.__build_class__}
     1032    0.007    0.000    0.095    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      299    0.000    0.000    0.093    0.000 /home/zyp/.local/lib/python3.9/site-packages/dask/utils.py:853(wrapper)
      299    0.002    0.000    0.093    0.000 /home/zyp/.local/lib/python3.9/site-packages/dask/utils.py:760(_derived_from)
     2668    0.077    0.000    0.077    0.000 {built-in method posix.stat}
     2649    0.001    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.070    0.070 /home/zyp/.local/lib/python3.9/site-packages/pandas/core/groupby/__init__.py:1(<module>)
        1    0.000    0.000    0.070    0.070 /home/zyp/.local/lib/python3.9/site-packages/pandas/core/groupby/generic.py:1(<module>)
        1    0.000    0.000    0.061    0.061 /home/zyp/.local/lib/python3.9/site-packages/dask/config.py:1(<module>)
        1    0.000    0.000    0.059    0.059 /home/zyp/.local/lib/python3.9/site-packages/pandas/core/frame.py:1(<module>)
        1    0.000    0.000    0.050    0.050 /home/zyp/.local/lib/python3.9/site-packages/dask/base.py:1(<module>)
      537    0.001    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      537    0.047    0.000    0.047    0.000 {built-in method marshal.loads}
      168    0.046    0.000    0.046    0.000 {built-in method builtins.compile}
       22    0.000    0.000    0.045    0.002 <frozen importlib._bootstrap_external>:908(source_to_code)
        1    0.000    0.000    0.045    0.045 /home/zyp/.local/lib/python3.9/site-packages/dask/array/ma.py:1(<module>)
        1    0.000    0.000    0.045    0.045 /home/zyp/.local/lib/python3.9/site-packages/dask/array/fft.py:1(<module>)
    58/34    0.000    0.000    0.043    0.001 <frozen importlib._bootstrap_external>:1179(exec_module)
    58/34    0.008    0.000    0.043    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.041    0.041 /home/zyp/.local/lib/python3.9/site-packages/pandas/core/generic.py:2(<module>)
        1    0.000    0.000    0.038    0.038 /usr/lib/python3/dist-packages/yaml/__init__.py:2(<module>)
        1    0.000    0.000    0.033    0.033 /home/zyp/.local/lib/python3.9/site-packages/dask/_compatibility.py:1(<module>)
    11229    0.005    0.000    0.033    0.000 /usr/lib/python3.9/re.py:289(_compile)
        1    0.000    0.000    0.031    0.031 /home/zyp/.local/lib/python3.9/site-packages/importlib_metadata/__init__.py:1(<module>)
        1    0.000    0.000    0.031    0.031 /home/zyp/.local/lib/python3.9/site-packages/dask/datasets.py:1(<module>)
        1    0.000    0.000    0.030    0.030 /home/zyp/.local/lib/python3.9/site-packages/pandas/_libs/__init__.py:1(<module>)
        1    0.000    0.000    0.029    0.029 /home/zyp/.local/lib/python3.9/site-packages/dask/array/creation.py:1(<module>)
        1    0.000    0.000    0.029    0.029 /home/zyp/.local/lib/python3.9/site-packages/dask/array/backends.py:1(<module>)
      452    0.003    0.000    0.028    0.000 /usr/lib/python3.9/textwrap.py:414(dedent)
        1    0.000    0.000    0.028    0.028 /home/zyp/.local/lib/python3.9/site-packages/pandas/_libs/tslibs/__init__.py:1(<module>)
      299    0.001    0.000    0.028    0.000 /home/zyp/.local/lib/python3.9/site-packages/dask/utils.py:684(extra_titles)
        1    0.000    0.000    0.027    0.027 /home/zyp/.local/lib/python3.9/site-packages/dask/array/core.py:1(<module>)
        1    0.000    0.000    0.027    0.027 /home/zyp/.local/lib/python3.9/site-packages/dask/utils.py:1(<module>)
        1    0.000    0.000    0.026    0.026 /home/zyp/.local/lib/python3.9/site-packages/pandas/core/arrays/__init__.py:1(<module>)
      890    0.001    0.000    0.026    0.000 /usr/lib/python3.9/inspect.py:3111(signature)
      101    0.001    0.000    0.026    0.000 /usr/lib/python3.9/sre_compile.py:783(compile)
