         737720 function calls (729841 primitive calls) in 0.724 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.724    0.724 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:640(estimate_betas)
    687/6    0.003    0.000    0.574    0.096 <frozen importlib._bootstrap>:1002(_find_and_load)
    676/6    0.002    0.000    0.573    0.096 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    627/7    0.002    0.000    0.573    0.082 <frozen importlib._bootstrap>:659(_load_unlocked)
    558/7    0.001    0.000    0.572    0.082 <frozen importlib._bootstrap_external>:844(exec_module)
    827/7    0.000    0.000    0.571    0.082 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    579/7    0.003    0.000    0.570    0.081 {built-in method builtins.exec}
        1    0.000    0.000    0.565    0.565 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:589(compute_maf)
    147/9    0.000    0.000    0.562    0.062 {built-in method builtins.__import__}
7773/7053    0.004    0.000    0.536    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.297    0.297 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/xarray/__init__.py:1(<module>)
        1    0.000    0.000    0.287    0.287 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/xarray/testing.py:1(<module>)
        1    0.000    0.000    0.247    0.247 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/__init__.py:1(<module>)
        1    0.000    0.000    0.157    0.157 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:137(predict_interaction)
        1    0.000    0.000    0.156    0.156 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/core/api.py:1(<module>)
       11    0.000    0.000    0.149    0.014 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:259(fit)
        1    0.000    0.000    0.148    0.148 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/array/__init__.py:1(<module>)
       11    0.000    0.000    0.147    0.013 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:66(_maximize_scalar)
       11    0.000    0.000    0.147    0.013 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:23(_minimize_scalar)
       11    0.000    0.000    0.136    0.012 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:11(minimize)
      558    0.004    0.000    0.134    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      605    0.001    0.000    0.133    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:50(func)
      605    0.001    0.000    0.132    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:45(func)
      605    0.001    0.000    0.123    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:292(value)
        1    0.000    0.000    0.119    0.119 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/__init__.py:1(<module>)
1099/1088    0.013    0.000    0.094    0.000 {built-in method builtins.__build_class__}
      299    0.000    0.000    0.092    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/utils.py:853(wrapper)
      299    0.002    0.000    0.092    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/utils.py:760(_derived_from)
      558    0.001    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        1    0.000    0.000    0.078    0.078 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/core/groupby/__init__.py:1(<module>)
      558    0.078    0.000    0.078    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.078    0.078 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/core/groupby/generic.py:1(<module>)
       11    0.001    0.000    0.069    0.006 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_bracket.py:8(bracket)
        1    0.000    0.000    0.067    0.067 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/core/frame.py:1(<module>)
       11    0.001    0.000    0.067    0.006 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_brent.py:9(brent)
      626    0.001    0.000    0.063    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      616    0.002    0.000    0.060    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:540(_update_beta)
        1    0.000    0.000    0.052    0.052 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/array/fft.py:1(<module>)
      663    0.004    0.000    0.050    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        1    0.000    0.000    0.048    0.048 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/core/generic.py:2(<module>)
       60    0.000    0.000    0.047    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
       60    0.047    0.001    0.047    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.045    0.045 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/api/__init__.py:1(<module>)
      663    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
    60/36    0.000    0.000    0.044    0.001 <frozen importlib._bootstrap_external>:1179(exec_module)
        1    0.000    0.000    0.044    0.044 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/array/ma.py:1(<module>)
    60/36    0.008    0.000    0.044    0.001 {built-in method _imp.exec_dynamic}
      663    0.002    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
     3083    0.041    0.000    0.043    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:69(dot)
        1    0.000    0.000    0.041    0.041 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/api/typing/__init__.py:1(<module>)
