         369303 function calls (369211 primitive calls) in 931.608 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  931.608  931.608 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:635(run_interaction)
        1    0.000    0.000  929.348  929.348 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:322(scan_interaction)
        1    0.000    0.000  929.344  929.344 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1847(__call__)
       19    0.000    0.000  929.311   48.911 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1583(_get_outputs)
       17    6.081    0.358  929.064   54.651 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1691(_retrieve)
    85615  921.463    0.011  921.463    0.011 {built-in method time.sleep}
        1    0.208    0.208    2.244    2.244 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:71(__init__)
       11    0.009    0.001    1.930    0.175 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:39(economic_qs_linear)
       11    0.000    0.000    1.921    0.175 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:74(_economic_qs_linear_noq1)
       11    1.921    0.175    1.921    0.175 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:1499(svd)
    85631    0.700    0.000    0.700    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1664(_wait_retrieval)
    86218    0.516    0.000    0.516    0.000 {built-in method builtins.len}
    85630    0.405    0.000    0.405    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:759(get_status)
   103/23    0.000    0.000    0.144    0.006 {built-in method builtins.next}
        1    0.000    0.000    0.144    0.144 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1562(_start)
       18    0.000    0.000    0.144    0.008 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1399(dispatch_one_batch)
       17    0.000    0.000    0.142    0.008 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1361(_dispatch)
       17    0.000    0.000    0.142    0.008 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_parallel_backends.py:598(apply_async)
       17    0.000    0.000    0.142    0.008 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/reusable_executor.py:223(submit)
       17    0.000    0.000    0.141    0.008 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/process_executor.py:1223(submit)
       17    0.000    0.000    0.140    0.008 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/process_executor.py:1216(_ensure_executor_running)
        1    0.002    0.002    0.138    0.138 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/process_executor.py:1186(_adjust_process_count)
       16    0.001    0.000    0.124    0.008 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/multiprocessing/process.py:110(start)
       16    0.001    0.000    0.122    0.008 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/process.py:39(_Popen)
       16    0.002    0.000    0.121    0.008 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/popen_loky_posix.py:43(__init__)
       16    0.007    0.000    0.119    0.007 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/popen_loky_posix.py:92(_launch)
       17    0.001    0.000    0.107    0.006 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/fork_exec.py:33(fork_exec)
       11    0.106    0.010    0.106    0.010 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:135(<listcomp>)
        1    0.000    0.000    0.103    0.103 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1354(_terminate_and_reset)
        1    0.000    0.000    0.103    0.103 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_parallel_backends.py:617(terminate)
        1    0.000    0.000    0.103    0.103 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_memmapping_reducer.py:603(_clean_temporary_resources)
        1    0.000    0.000    0.103    0.103 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/disk.py:105(delete_folder)
       17    0.101    0.006    0.101    0.006 {built-in method posix.fork}
