         4875499 function calls (4874340 primitive calls) in 1082.333 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001 1082.333 1082.333 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:556(run_interaction)
        1    0.219    0.219 1080.047 1080.047 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:320(scan_interaction)
     1100    0.011    0.000 1058.711    0.962 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:259(fit)
   141095 1039.028    0.007 1039.504    0.007 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:69(dot)
     1100    0.006    0.000 1021.942    0.929 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:66(_maximize_scalar)
     1100    0.340    0.000 1021.936    0.929 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:23(_minimize_scalar)
     1100    0.009    0.000 1019.164    0.927 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:11(minimize)
    26999    0.095    0.000 1018.837    0.038 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:50(func)
    26999    0.165    0.000 1018.742    0.038 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:45(func)
    26999    0.193    0.000 1017.302    0.038 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:292(value)
     1100    0.112    0.000  689.578    0.627 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_bracket.py:8(bracket)
    56798    4.824    0.000  687.915    0.012 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:580(_tXTBtX)
    28099    0.414    0.000  685.801    0.024 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:540(_update_beta)
     1100    0.117    0.000  329.577    0.300 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_brent.py:9(brent)
    56198    4.311    0.000  257.296    0.005 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:576(_yTBtX)
    28099    0.292    0.000  235.855    0.008 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:549(_update_scale)
    28099    0.684    0.000  235.496    0.008 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:533(_optimal_scale_using_optimal_beta)
    28699    0.198    0.000  140.575    0.005 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:324(lml)
    28699    0.518    0.000  137.319    0.005 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:478(_logdetH)
    28099    1.448    0.000  104.962    0.004 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:572(_yTBy)
     1100    0.313    0.000   10.310    0.009 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:98(__init__)
     1100    9.175    0.008    9.176    0.008 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:28(__init__)
    28099    0.299    0.000    4.637    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/solve.py:54(rsolve)
    28099    0.481    0.000    4.194    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/solve.py:140(rsolve)
    28299    2.349    0.000    3.232    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:2191(lstsq)
    28699    0.400    0.000    2.946    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:489(_lml_optimal_scale)
    28699    0.907    0.000    2.285    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:561(_logdetD)
        1    0.219    0.219    2.267    2.267 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:69(__init__)
      300    2.015    0.007    2.031    0.007 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_math.py:58(solve)
       11    0.006    0.001    1.922    0.175 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:39(economic_qs_linear)
       11    0.000    0.000    1.916    0.174 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:74(_economic_qs_linear_noq1)
       11    1.916    0.174    1.916    0.174 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:1499(svd)
    29799    0.861    0.000    1.817    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:2037(slogdet)
     1101    0.016    0.000    1.545    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:953(__init__)
     1101    1.409    0.001    1.474    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:212(__init__)
36899/35799    0.259    0.000    1.379    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:108(__setattr__)
      200    0.050    0.000    1.253    0.006 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_math.py:91(dot)
    58398    0.699    0.000    1.212    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:375(delta)
    29199    0.190    0.000    1.022    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:170(itemset)
   331701    0.674    0.000    0.996    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      100    0.044    0.000    0.913    0.009 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_math.py:119(matrix_for_dist_weights)
      100    0.001    0.000    0.857    0.009 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_math.py:86(__init__)
    29199    0.141    0.000    0.800    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:155(__notify)
    58209    0.340    0.000    0.635    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:159(_commonType)
    31299    0.533    0.000    0.533    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    28699    0.070    0.000    0.522    0.000 {method 'sum' of 'numpy.ndarray' objects}
     1101    0.011    0.000    0.509    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:666(__new__)
    29199    0.104    0.000    0.509    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:459(_delta_update)
    85497    0.294    0.000    0.499    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:524(_df)
     2204    0.003    0.000    0.483    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:110(__enter__)
     2305    0.463    0.000    0.482    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:102(acquire)
    28805    0.434    0.000    0.459    0.000 {built-in method builtins.sum}
    28699    0.037    0.000    0.452    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/_methods.py:47(_sum)
     1100    0.010    0.000    0.437    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/_svd.py:19(__init__)
      100    0.032    0.000    0.416    0.004 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_math.py:114(statistic)
     1101    0.053    0.000    0.385    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/svd.py:4(economic_svd)
     1101    0.278    0.000    0.330    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/linalg/_decomp_svd.py:13(svd)
     1100    0.006    0.000    0.302    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_variables.py:22(select)
     2200    0.290    0.000    0.295    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_variables.py:29(names)
    59598    0.295    0.000    0.295    0.000 {method 'astype' of 'numpy.generic' objects}
   144717    0.146    0.000    0.206    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:153(_realType)
   340873    0.169    0.000    0.169    0.000 {built-in method builtins.hasattr}
    58398    0.168    0.000    0.168    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:120(__getattr__)
   340979    0.159    0.000    0.159    0.000 {built-in method builtins.isinstance}
     2200    0.017    0.000    0.157    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/_array.py:50(is_all_finite)
    29199    0.151    0.000    0.151    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/weakref.py:69(__call__)
    85497    0.097    0.000    0.149    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:310(nsamples)
      100    0.003    0.000    0.139    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/chiscore/_davies.py:10(davies_pvalue)
     2200    0.009    0.000    0.138    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/fromnumeric.py:2177(sum)
    56709    0.098    0.000    0.137    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:135(_makearray)
    30103    0.133    0.000    0.133    0.000 {built-in method numpy.array}
     2400    0.012    0.000    0.131    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
   157142    0.130    0.000    0.130    0.000 {built-in method numpy.asarray}
       11    0.126    0.011    0.126    0.011 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:133(<listcomp>)
    85031    0.120    0.000    0.120    0.000 {method 'astype' of 'numpy.ndarray' objects}
      100    0.003    0.000    0.117    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/chiscore/_davies.py:40(_pvalue_lambda)
     1504    0.071    0.000    0.113    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/dot.py:29(ddot)
    57898    0.112    0.000    0.112    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:401(scale)
   144717    0.082    0.000    0.112    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:140(isComplexType)
     1100    0.016    0.000    0.112    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/functools.py:949(__get__)
    78428    0.100    0.000    0.100    0.000 {built-in method builtins.max}
    29910    0.100    0.000    0.100    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:203(_assert_stacked_2d)
     1100    0.032    0.000    0.094    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:465(_logdetXX)
    29899    0.087    0.000    0.087    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:209(_assert_stacked_square)
   171994    0.087    0.000    0.087    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/_svd.py:44(US)
