         72569 function calls (72449 primitive calls) in 15.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   15.867   15.867 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:480(run_association)
        1    0.000    0.000   15.472   15.472 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:252(scan_association)
        1    0.000    0.000   12.734   12.734 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1847(__call__)
      102    0.000    0.000   12.694    0.124 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1583(_get_outputs)
     1072   12.427    0.012   12.427    0.012 {built-in method time.sleep}
      100    0.030    0.000   11.458    0.115 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1691(_retrieve)
       11    0.000    0.000    2.696    0.245 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:259(fit)
       11    0.000    0.000    2.594    0.236 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:66(_maximize_scalar)
       11    0.000    0.000    2.594    0.236 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:23(_minimize_scalar)
       11    0.000    0.000    2.592    0.236 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:11(minimize)
      261    0.001    0.000    2.589    0.010 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:50(func)
      261    0.001    0.000    2.589    0.010 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:45(func)
      261    0.001    0.000    2.578    0.010 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:292(value)
     1088    2.501    0.002    2.503    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:69(dot)
      272    0.003    0.000    1.940    0.007 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:540(_update_beta)
       11    0.001    0.000    1.768    0.161 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_bracket.py:8(bracket)
      272    0.024    0.000    1.421    0.005 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:580(_tXTBtX)
