         1961185 function calls (1961093 primitive calls) in 5342.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003 5342.523 5342.523 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:644(run_interaction)
        1    0.000    0.000 5340.205 5340.205 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:322(scan_interaction)
        1    0.000    0.000 5340.184 5340.184 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1847(__call__)
       19    0.000    0.000 5340.152  281.061 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1583(_get_outputs)
       17   41.699    2.453 5339.846  314.109 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1691(_retrieve)
   483675 5288.238    0.011 5288.238    0.011 {built-in method time.sleep}
   483691    4.085    0.000    4.085    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1664(_wait_retrieval)
   484278    3.286    0.000    3.286    0.000 {built-in method builtins.len}
   483690    2.641    0.000    2.641    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:759(get_status)
        1    0.220    0.220    2.300    2.300 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:71(__init__)
       11    0.008    0.001    1.960    0.178 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:39(economic_qs_linear)
       11    0.000    0.000    1.952    0.177 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:74(_economic_qs_linear_noq1)
       11    1.951    0.177    1.952    0.177 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:1499(svd)
   103/23    0.000    0.000    0.197    0.009 {built-in method builtins.next}
        1    0.000    0.000    0.196    0.196 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1562(_start)
       18    0.000    0.000    0.196    0.011 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1399(dispatch_one_batch)
       17    0.000    0.000    0.195    0.011 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1361(_dispatch)
       17    0.000    0.000    0.195    0.011 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_parallel_backends.py:598(apply_async)
       17    0.000    0.000    0.194    0.011 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/reusable_executor.py:223(submit)
       17    0.000    0.000    0.194    0.011 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/process_executor.py:1223(submit)
       17    0.000    0.000    0.193    0.011 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/process_executor.py:1216(_ensure_executor_running)
        1    0.002    0.002    0.190    0.190 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/process_executor.py:1186(_adjust_process_count)
       16    0.001    0.000    0.177    0.011 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/multiprocessing/process.py:110(start)
       16    0.000    0.000    0.176    0.011 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/process.py:39(_Popen)
       16    0.002    0.000    0.174    0.011 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/popen_loky_posix.py:43(__init__)
       16    0.008    0.001    0.172    0.011 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/popen_loky_posix.py:92(_launch)
       17    0.001    0.000    0.159    0.009 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/fork_exec.py:33(fork_exec)
       17    0.152    0.009    0.153    0.009 {built-in method posix.fork}
       11    0.120    0.011    0.120    0.011 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:135(<listcomp>)
        1    0.000    0.000    0.109    0.109 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1354(_terminate_and_reset)
        1    0.000    0.000    0.109    0.109 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_parallel_backends.py:617(terminate)
        1    0.000    0.000    0.109    0.109 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_memmapping_reducer.py:603(_clean_temporary_resources)
        1    0.000    0.000    0.108    0.108 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/disk.py:105(delete_folder)
        1    0.000    0.000    0.032    0.032 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1329(_initialize_backend)
        1    0.000    0.000    0.032    0.032 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_parallel_backends.py:542(configure)
        1    0.000    0.000    0.032    0.032 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/executor.py:19(get_memmapping_executor)
        1    0.000    0.000    0.032    0.032 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/executor.py:25(get_memmapping_executor)
       24    0.000    0.000    0.027    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/resource_tracker.py:176(register)
        2    0.000    0.000    0.027    0.013 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_memmapping_reducer.py:541(register_new_context)
       69    0.001    0.000    0.027    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/resource_tracker.py:87(ensure_running)
        1    0.000    0.000    0.027    0.027 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_memmapping_reducer.py:522(__init__)
        1    0.000    0.000    0.027    0.027 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_memmapping_reducer.py:537(set_current_context)
        2    0.000    0.000    0.026    0.013 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_memmapping_reducer.py:573(register_folder_finalizer)
        1    0.000    0.000    0.025    0.025 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/resource_tracker.py:356(spawnv_passfds)
       32    0.000    0.000    0.021    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/reduction.py:205(dump)
       47    0.020    0.000    0.020    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.016    0.016 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:621(get_L_values)
        4    0.003    0.001    0.015    0.004 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/dot.py:29(ddot)
       32    0.000    0.000    0.014    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/cloudpickle/cloudpickle_fast.py:630(dump)
       32    0.005    0.000    0.014    0.000 {function CloudPickler.dump at 0x1319a5c10}
        4    0.000    0.000    0.011    0.003 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/lib/function_base.py:873(copy)
        4    0.011    0.003    0.011    0.003 {built-in method numpy.array}
       17    0.001    0.000    0.008    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/context.py:325(BoundedSemaphore)
       22    0.002    0.000    0.007    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/synchronize.py:65(__init__)
       32    0.002    0.000    0.007    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/reduction.py:157(__init__)
       17    0.000    0.000    0.007    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/synchronize.py:171(__init__)
