         488811 function calls (488683 primitive calls) in 31.057 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   31.057   31.057 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:471(run_association)
        1    0.035    0.035   30.695   30.695 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:246(scan_association)
      111    0.001    0.000   30.317    0.273 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:259(fit)
      111    0.000    0.000   29.101    0.262 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:66(_maximize_scalar)
      111    0.003    0.000   29.100    0.262 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:23(_minimize_scalar)
      111    0.001    0.000   28.994    0.261 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:11(minimize)
     2661    0.006    0.000   28.970    0.011 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:50(func)
     2661    0.012    0.000   28.963    0.011 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:45(func)
     2661    0.015    0.000   28.859    0.011 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:292(value)
    11088   26.935    0.002   26.959    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:69(dot)
     2772    0.033    0.000   21.482    0.008 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:540(_update_beta)
      111    0.009    0.000   19.383    0.175 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_bracket.py:8(bracket)
     2772    0.514    0.000   15.057    0.005 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:580(_tXTBtX)
     5544    1.757    0.000   11.594    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:576(_yTBtX)
      111    0.009    0.000    9.611    0.087 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_brent.py:9(brent)
     2772    0.019    0.000    8.380    0.003 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:549(_update_scale)
     2772    0.052    0.000    8.357    0.003 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:533(_optimal_scale_using_optimal_beta)
     2772    0.085    0.000    2.670    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:572(_yTBy)
     2772    0.023    0.000    0.417    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/solve.py:54(rsolve)
     2772    0.039    0.000    0.382    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/solve.py:140(rsolve)
        1    0.080    0.080    0.361    0.361 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:63(__init__)
     2772    0.228    0.000    0.299    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:2191(lstsq)
      111    0.004    0.000    0.282    0.003 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:98(__init__)
       11    0.000    0.000    0.281    0.026 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:39(economic_qs_linear)
       11    0.000    0.000    0.281    0.026 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:74(_economic_qs_linear_noq1)
       11    0.280    0.025    0.281    0.026 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:1499(svd)
     2781    0.011    0.000    0.205    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:324(lml)
     2781    0.026    0.000    0.192    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:489(_lml_optimal_scale)
      111    0.175    0.002    0.175    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:28(__init__)
     2781    0.055    0.000    0.158    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:561(_logdetD)
3660/3549    0.018    0.000    0.099    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:108(__setattr__)
     5667    0.052    0.000    0.092    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:375(delta)
      112    0.001    0.000    0.080    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:953(__init__)
      111    0.001    0.000    0.078    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/_svd.py:19(__init__)
     2883    0.016    0.000    0.075    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:170(itemset)
      112    0.050    0.000    0.074    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:212(__init__)
      111    0.005    0.000    0.071    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/svd.py:4(economic_svd)
      111    0.061    0.001    0.065    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/linalg/_decomp_svd.py:13(svd)
     3078    0.045    0.000    0.065    0.000 {built-in method builtins.sum}
    29844    0.043    0.000    0.063    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     2883    0.012    0.000    0.057    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:155(__notify)
