         485964 function calls (485836 primitive calls) in 29.857 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   29.857   29.857 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:471(run_association)
        1    0.034    0.034   29.423   29.423 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:246(scan_association)
      111    0.001    0.000   29.042    0.262 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:259(fit)
      111    0.000    0.000   27.917    0.252 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:66(_maximize_scalar)
      111    0.003    0.000   27.917    0.252 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:23(_minimize_scalar)
      111    0.001    0.000   27.810    0.251 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:11(minimize)
     2661    0.007    0.000   27.785    0.010 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:50(func)
     2661    0.013    0.000   27.778    0.010 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:45(func)
     2661    0.016    0.000   27.669    0.010 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:292(value)
    11088   26.534    0.002   26.558    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:69(dot)
     2772    0.033    0.000   20.800    0.008 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:540(_update_beta)
      111    0.008    0.000   18.645    0.168 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_bracket.py:8(bracket)
     2772    0.410    0.000   14.950    0.005 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:580(_tXTBtX)
     5544    0.989    0.000   10.563    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:576(_yTBtX)
      111    0.009    0.000    9.164    0.083 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_brent.py:9(brent)
     2772    0.020    0.000    7.779    0.003 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:549(_update_scale)
     2772    0.051    0.000    7.754    0.003 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:533(_optimal_scale_using_optimal_beta)
     2772    0.067    0.000    2.517    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:572(_yTBy)
        1    0.114    0.114    0.433    0.433 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:63(__init__)
     2772    0.023    0.000    0.423    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/solve.py:54(rsolve)
     2772    0.039    0.000    0.390    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/solve.py:140(rsolve)
       11    0.000    0.000    0.319    0.029 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:39(economic_qs_linear)
       11    0.000    0.000    0.319    0.029 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:74(_economic_qs_linear_noq1)
       11    0.318    0.029    0.318    0.029 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:1499(svd)
     2772    0.234    0.000    0.308    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:2191(lstsq)
      111    0.004    0.000    0.288    0.003 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:98(__init__)
     2781    0.012    0.000    0.207    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:324(lml)
     2781    0.026    0.000    0.192    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:489(_lml_optimal_scale)
      111    0.179    0.002    0.179    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:28(__init__)
     2781    0.054    0.000    0.160    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:561(_logdetD)
3660/3549    0.019    0.000    0.104    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:108(__setattr__)
     5667    0.055    0.000    0.094    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:375(delta)
      112    0.001    0.000    0.093    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:953(__init__)
      112    0.086    0.001    0.087    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:212(__init__)
      111    0.001    0.000    0.079    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/_svd.py:19(__init__)
     2883    0.016    0.000    0.078    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:170(itemset)
      111    0.005    0.000    0.071    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/svd.py:4(economic_svd)
      111    0.061    0.001    0.065    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/linalg/_decomp_svd.py:13(svd)
    29844    0.043    0.000    0.063    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     3078    0.042    0.000    0.061    0.000 {built-in method builtins.sum}
     2883    0.011    0.000    0.059    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:155(__notify)
     2761    0.003    0.000    0.048    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1199(update)
      101    0.001    0.000    0.047    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1161(__iter__)
      101    0.000    0.000    0.045    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1326(refresh)
      102    0.001    0.000    0.042    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1465(display)
     2883    0.007    0.000    0.035    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:459(_delta_update)
     2781    0.005    0.000    0.035    0.000 {method 'sum' of 'numpy.ndarray' objects}
     3005    0.032    0.000    0.032    0.000 {method 'reduce' of 'numpy.ufunc' objects}
