         488820 function calls (488692 primitive calls) in 29.450 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   29.450   29.450 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:471(run_association)
        1    0.028    0.028   29.096   29.096 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:246(scan_association)
      111    0.001    0.000   28.721    0.259 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:259(fit)
      111    0.000    0.000   27.582    0.248 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:66(_maximize_scalar)
      111    0.003    0.000   27.582    0.248 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:23(_minimize_scalar)
      111    0.001    0.000   27.473    0.248 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:11(minimize)
     2661    0.006    0.000   27.447    0.010 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:50(func)
     2661    0.013    0.000   27.441    0.010 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:45(func)
     2661    0.015    0.000   27.333    0.010 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:292(value)
    11088   26.504    0.002   26.529    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:69(dot)
     2772    0.035    0.000   20.633    0.007 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:540(_update_beta)
      111    0.009    0.000   18.259    0.164 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_bracket.py:8(bracket)
     2772    0.426    0.000   14.996    0.005 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:580(_tXTBtX)
     5544    0.703    0.000   10.257    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:576(_yTBtX)
      111    0.009    0.000    9.213    0.083 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_brent.py:9(brent)
     2772    0.018    0.000    7.627    0.003 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:549(_update_scale)
     2772    0.054    0.000    7.604    0.003 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:533(_optimal_scale_using_optimal_beta)
     2772    0.053    0.000    2.463    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:572(_yTBy)
     2772    0.022    0.000    0.417    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/solve.py:54(rsolve)
     2772    0.040    0.000    0.385    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/solve.py:140(rsolve)
        1    0.077    0.077    0.353    0.353 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:63(__init__)
     2772    0.232    0.000    0.302    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:2191(lstsq)
      111    0.004    0.000    0.288    0.003 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:98(__init__)
       11    0.000    0.000    0.276    0.025 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:39(economic_qs_linear)
       11    0.000    0.000    0.276    0.025 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:74(_economic_qs_linear_noq1)
       11    0.275    0.025    0.275    0.025 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:1499(svd)
     2781    0.012    0.000    0.204    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:324(lml)
     2781    0.026    0.000    0.190    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:489(_lml_optimal_scale)
      111    0.179    0.002    0.180    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:28(__init__)
     2781    0.053    0.000    0.157    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:561(_logdetD)
3660/3549    0.019    0.000    0.103    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:108(__setattr__)
      112    0.001    0.000    0.096    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:953(__init__)
     5667    0.053    0.000    0.093    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:375(delta)
      112    0.071    0.001    0.089    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:212(__init__)
      111    0.001    0.000    0.079    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/_svd.py:19(__init__)
     2883    0.016    0.000    0.077    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:170(itemset)
      111    0.005    0.000    0.071    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/svd.py:4(economic_svd)
      111    0.061    0.001    0.066    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/linalg/_decomp_svd.py:13(svd)
    29844    0.043    0.000    0.063    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     3078    0.043    0.000    0.062    0.000 {built-in method builtins.sum}
     2883    0.011    0.000    0.059    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:155(__notify)
     2761    0.003    0.000    0.049    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1199(update)
      101    0.001    0.000    0.048    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1161(__iter__)
      101    0.000    0.000    0.045    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1326(refresh)
      102    0.001    0.000    0.043    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1465(display)
     2883    0.008    0.000    0.036    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:459(_delta_update)
     2781    0.005    0.000    0.035    0.000 {method 'sum' of 'numpy.ndarray' objects}
     3005    0.031    0.000    0.031    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2781    0.003    0.000    0.030    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/_methods.py:47(_sum)
      102    0.001    0.000    0.027    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1151(__str__)
      306    0.000    0.000    0.027    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:377(disp_len)
      306    0.001    0.000    0.026    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:373(_text_width)
     2783    0.014    0.000    0.026    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:159(_commonType)
      102    0.004    0.000    0.025    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:467(format_meter)
    48434    0.013    0.000    0.019    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:374(<genexpr>)
      224    0.000    0.000    0.018    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:186(disable_on_exception)
     8334    0.008    0.000    0.018    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:524(_df)
      224    0.018    0.000    0.018    0.000 {built-in method _weakref.proxy}
      102    0.000    0.000    0.015    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:460(print_status)
     5667    0.014    0.000    0.014    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:120(__getattr__)
      102    0.000    0.000    0.012    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:385(disp_trim)
     2883    0.011    0.000    0.011    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/weakref.py:69(__call__)
    30951    0.011    0.000    0.011    0.000 {built-in method builtins.hasattr}
     5555    0.008    0.000    0.011    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:135(_makearray)
     2889    0.011    0.000    0.011    0.000 {built-in method numpy.array}
     8334    0.006    0.000    0.010    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:310(nsamples)
    30985    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
     8350    0.009    0.000    0.009    0.000 {method 'astype' of 'numpy.ndarray' objects}
     7765    0.008    0.000    0.008    0.000 {built-in method builtins.max}
      222    0.001    0.000    0.008    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/_array.py:50(is_all_finite)
     8338    0.005    0.000    0.008    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:153(_realType)
    12455    0.008    0.000    0.008    0.000 {built-in method numpy.asarray}
      111    0.002    0.000    0.007    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:26(__init__)
      222    0.001    0.000    0.007    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/fromnumeric.py:2177(sum)
      111    0.004    0.000    0.007    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/dot.py:29(ddot)
    48128    0.006    0.000    0.006    0.000 {built-in method unicodedata.east_asian_width}
      224    0.001    0.000    0.006    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
    11088    0.006    0.000    0.006    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/_svd.py:44(US)
