         97930 function calls (97711 primitive calls) in 26.815 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   26.815   26.815 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:456(run_association)
        1    0.001    0.001   26.458   26.458 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:257(scan_association)
       10    0.001    0.000   23.598    2.360 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1847(__call__)
      120    0.001    0.000   23.543    0.196 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1583(_get_outputs)
     1413   23.271    0.016   23.271    0.016 {built-in method time.sleep}
       76    0.027    0.000   14.144    0.186 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1691(_retrieve)
       10    0.000    0.000    9.187    0.919 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1354(_terminate_and_reset)
       10    0.000    0.000    9.186    0.919 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_parallel_backends.py:617(terminate)
       10    0.000    0.000    9.186    0.919 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_memmapping_reducer.py:603(_clean_temporary_resources)
       10    0.003    0.000    9.183    0.918 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/disk.py:105(delete_folder)
       11    0.000    0.000    2.808    0.255 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:259(fit)
       11    0.000    0.000    2.695    0.245 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:66(_maximize_scalar)
       11    0.000    0.000    2.695    0.245 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:23(_minimize_scalar)
       11    0.000    0.000    2.692    0.245 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:11(minimize)
      261    0.001    0.000    2.690    0.010 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_optimize.py:50(func)
      261    0.001    0.000    2.689    0.010 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:45(func)
      261    0.001    0.000    2.679    0.010 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:292(value)
     1088    2.576    0.002    2.578    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:69(dot)
      272    0.004    0.000    2.033    0.007 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:540(_update_beta)
